id,name,source,reason
htc-160,糖醋汁,howtocook,缺 id/名称/核心食材/结构，已从生产池隔离
htc-165,牛油火锅底料,howtocook,缺 id/名称/核心食材/结构，已从生产池隔离
d1-059,Casseroles,Dinner in One (Melissa Clark),缺 id/名称/核心食材/结构，已从生产池隔离
jone-123,SPECIAL DIET-FRIENDLY RECIPES,One: Simple One-Pan Wonders (Jamie Oliver),缺 id/名称/核心食材/结构，已从生产池隔离
jone-124,BOOKS BY JAMIE OLIVER,One: Simple One-Pan Wonders (Jamie Oliver),缺 id/名称/核心食材/结构，已从生产池隔离
vfad-001,1 Basic Recipes and Know-How,Vietnamese Food Any Day (Andrea Nguyen),缺 id/名称/核心食材/结构，已从生产池隔离
vfad-009,2 Snacks,Vietnamese Food Any Day (Andrea Nguyen),缺 id/名称/核心食材/结构，已从生产池隔离
vfad-018,3 Soups,Vietnamese Food Any Day (Andrea Nguyen),缺 id/名称/核心食材/结构，已从生产池隔离
vfad-028,4 Chicken and Seafood,Vietnamese Food Any Day (Andrea Nguyen),缺 id/名称/核心食材/结构，已从生产池隔离
vfad-039,5 Pork and Beef,Vietnamese Food Any Day (Andrea Nguyen),缺 id/名称/核心食材/结构，已从生产池隔离
vfad-055,7 Salads and Vegetable Sides,Vietnamese Food Any Day (Andrea Nguyen),缺 id/名称/核心食材/结构，已从生产池隔离
vfad-067,8 Rice and Noodles,Vietnamese Food Any Day (Andrea Nguyen),缺 id/名称/核心食材/结构，已从生产池隔离
ymzx-108,Plain White Rice,鱼米之乡（扶霞·邓洛普）,缺 id/名称/核心食材/结构，已从生产池隔离
ymzx-135,Lotus Leaf Buns,鱼米之乡（扶霞·邓洛普）,缺 id/名称/核心食材/结构，已从生产池隔离
ymzx-142,Dragon Well Tea,鱼米之乡（扶霞·邓洛普）,缺 id/名称/核心食材/结构，已从生产池隔离
