id,name,source,missing_fields
htc-001,乡村啤酒鸭,howtocook,cuisine+season_months
htc-002,冷吃兔,howtocook,cuisine+season_months
htc-003,可乐鸡翅,howtocook,cuisine+season_months
htc-004,咕噜肉,howtocook,cuisine+season_months
htc-005,商芝肉,howtocook,cuisine+season_months
htc-006,孜然牛肉,howtocook,cuisine+season_months
htc-007,小炒肉,howtocook,cuisine+season_months
htc-008,小米辣炒肉,howtocook,cuisine+season_months
htc-009,小酥肉,howtocook,cuisine+season_months
htc-010,尖椒炒牛肉,howtocook,cuisine+season_months
htc-011,山西过油肉,howtocook,cuisine+season_months
htc-012,带把肘子,howtocook,cuisine+season_months
htc-013,意式烤鸡,howtocook,cuisine+season_months
htc-014,杀猪菜,howtocook,cuisine+season_months
htc-015,椒盐排条,howtocook,cuisine+season_months
htc-016,水煮肉片,howtocook,cuisine+season_months
htc-017,洋葱炒猪肉,howtocook,cuisine+season_months
htc-018,烤鸡翅,howtocook,cuisine+season_months
htc-019,猪肉烩酸菜,howtocook,cuisine+season_months
htc-020,甜辣烤全翅,howtocook,cuisine+season_months
htc-021,番茄红酱,howtocook,cuisine+season_months
htc-022,白菜猪肉炖粉条,howtocook,cuisine+season_months
htc-023,粉蒸肉,howtocook,cuisine+season_months
htc-024,糖醋里脊,howtocook,cuisine+season_months
htc-025,红烧鸡翅,howtocook,cuisine+season_months
htc-026,肉饼炖蛋,howtocook,cuisine+season_months
htc-027,腐乳肉,howtocook,cuisine+season_months
htc-028,萝卜炖羊排,howtocook,cuisine+season_months
htc-029,葱烧鸡腿,howtocook,cuisine+season_months
htc-030,蒜苔炒肉末,howtocook,cuisine+season_months
htc-031,虎皮肘子,howtocook,cuisine+season_months
htc-032,蚂蚁上树,howtocook,cuisine+season_months
htc-033,豉汁排骨,howtocook,cuisine+season_months
htc-034,辣椒炒肉,howtocook,cuisine+season_months
htc-035,香干肉丝,howtocook,cuisine+season_months
htc-036,鱼香肉丝,howtocook,cuisine+season_months
htc-037,麻辣香锅,howtocook,cuisine+season_months
htc-038,黄油鸡,howtocook,cuisine+season_months
htc-039,黄焖鸡,howtocook,cuisine+season_months
htc-040,黄瓜炒肉,howtocook,cuisine+season_months
htc-041,利提巧卡,howtocook,cuisine+season_months
htc-042,印度烤饼,howtocook,cuisine+season_months
htc-043,印度焖饭,howtocook,cuisine+season_months
htc-044,可乐炒饭,howtocook,cuisine+season_months
htc-045,咸肉菜饭,howtocook,cuisine+season_months
htc-046,手工水饺,howtocook,cuisine+season_months
htc-047,汤面,howtocook,cuisine+season_months
htc-048,炒年糕,howtocook,cuisine+season_months
htc-049,炒河粉,howtocook,cuisine+season_months
htc-050,炒馍,howtocook,cuisine+season_months
htc-051,炸酱面,howtocook,cuisine+season_months
htc-052,热干面,howtocook,cuisine+season_months
htc-053,照烧鸡腿饭,howtocook,cuisine+season_months
htc-054,煮泡面加蛋,howtocook,cuisine+season_months
htc-055,猪油拌饭,howtocook,cuisine+season_months
htc-056,红芸豆拌饭,howtocook,cuisine+season_months
htc-057,老干妈拌面,howtocook,cuisine+season_months
htc-058,肉蛋盖饭,howtocook,cuisine+season_months
htc-059,葱油拌面,howtocook,cuisine+season_months
htc-060,蒸卤面,howtocook,cuisine+season_months
htc-061,蛋包饭,howtocook,cuisine+season_months
htc-062,蛋炒饭,howtocook,cuisine+season_months
htc-063,螺蛳粉,howtocook,cuisine+season_months
htc-064,酸辣蕨根粉,howtocook,cuisine+season_months
htc-065,醪糟小汤圆,howtocook,cuisine+season_months
htc-066,韭菜盒子,howtocook,cuisine+season_months
htc-067,鲜肉烧卖,howtocook,cuisine+season_months
htc-068,鹰嘴豆炸饼,howtocook,cuisine+season_months
htc-069,麻油拌面,howtocook,cuisine+season_months
htc-070,麻辣减脂荞麦面,howtocook,cuisine+season_months
htc-071,凉拌油麦菜,howtocook,cuisine+season_months
htc-072,凉拌豆腐,howtocook,cuisine+season_months
htc-073,凉拌金针菇,howtocook,cuisine+season_months
htc-074,凉拌黄瓜,howtocook,cuisine+season_months
htc-075,印度土豆花菜,howtocook,cuisine+season_months
htc-076,印度葫芦丸子,howtocook,cuisine+season_months
htc-077,家常日本豆腐,howtocook,cuisine+season_months
htc-078,松仁玉米,howtocook,cuisine+season_months
htc-079,水油焖蔬菜,howtocook,cuisine+season_months
htc-080,油醋爆蛋,howtocook,cuisine+season_months
htc-081,清炒花菜,howtocook,cuisine+season_months
htc-082,清蒸南瓜,howtocook,cuisine+season_months
htc-083,炒茄子,howtocook,cuisine+season_months
htc-084,炒青菜,howtocook,cuisine+season_months
htc-085,皮蛋豆腐,howtocook,cuisine+season_months
htc-086,素炒豆角,howtocook,cuisine+season_months
htc-087,红烧茄子,howtocook,cuisine+season_months
htc-088,脆皮豆腐,howtocook,cuisine+season_months
htc-089,茄子炖土豆,howtocook,cuisine+season_months
